time,latitude,longitude,sv_used,hdop,pdop,vdop
2025-11-07T13:09:56.609233+00:00,58.42202666666667,15.577795333333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:57.614146+00:00,58.4220525,15.577670333333334,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:58.610167+00:00,58.422078,15.577540166666667,22|19|17|15|24|13,2.20,6.78,6.41
2025-11-07T13:09:59.616194+00:00,58.4221065,15.5774035,22|19|17|15|24|13,2.21,6.78,6.41
2025-11-07T13:10:00.610809+00:00,58.42213566666667,15.5772775,22|19|17|15|24|13,2.21,6.79,6.42
2025-11-07T13:10:01.610227+00:00,58.42216466666667,15.577155,22|19|17|15|24|13,2.21,6.80,6.43
2025-11-07T13:10:02.608336+00:00,58.42218916666667,15.577033666666667,22|19|17|15|24|13,2.21,6.80,6.43
2025-11-07T13:10:03.610384+00:00,58.422221,15.576897666666667,22|19|17|15|24|13,2.21,6.81,6.44
2025-11-07T13:10:04.608447+00:00,58.422247666666664,15.576776333333333,22|19|17|15|24|13,2.21,6.82,6.45
2025-11-07T13:10:05.614560+00:00,58.42225766666667,15.576666666666666,22|01|19|17|15|24|13,1.31,2.57,2.22
2025-11-07T13:10:06.604540+00:00,58.42228266666667,15.576534666666667,22|19|17|15|13,7.81,18.06,16.28
2025-11-07T13:10:07.611085+00:00,58.42231366666667,15.576415833333334,22|19|17|15|13,7.82,18.09,16.31
2025-11-07T13:10:08.608656+00:00,58.422342666666665,15.576290333333333,22|19|17|15|13,7.83,18.12,16.33
2025-11-07T13:10:09.610869+00:00,58.422372,15.576158666666666,22|19|17|15|13,7.84,18.14,16.36
2025-11-07T13:10:10.606880+00:00,58.422397,15.5760535,22|19|17|15|24|13,2.22,6.86,6.49
2025-11-07T13:10:11.614925+00:00,58.422433,15.575925,22|01|19|17|15|24|13,2.22,6.86,6.49
2025-11-07T13:10:12.613823+00:00,58.42246433333333,15.575798833333334,22|19|17|15|24|13,2.22,6.87,6.50
2025-11-07T13:10:13.609979+00:00,58.42249616666667,15.575678833333333,22|19|17|15|24|13,2.22,6.88,6.51
2025-11-07T13:10:14.608940+00:00,58.422526166666664,15.575561166666667,22|19|17|15|24|13,2.23,6.88,6.51
2025-11-07T13:10:15.610988+00:00,58.42255566666667,15.575438,22|19|17|15|24|13,2.23,6.89,6.52
2025-11-07T13:10:16.610207+00:00,58.42258133333333,15.575333,22|19|17|15|24|13,2.23,6.90,6.53
2025-11-07T13:10:17.608165+00:00,58.422604166666666,15.575235166666667,22|19|17|15|24|13,2.23,6.91,6.54
2025-11-07T13:10:18.613130+00:00,58.42260666666667,15.575175,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:19.614189+00:00,58.42262366666667,15.575112666666667,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:20.613224+00:00,58.42265666666667,15.5750565,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:21.613269+00:00,58.42269133333333,15.574997166666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:22.614362+00:00,58.4227115,15.574922666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:23.615387+00:00,58.422731166666665,15.5748505,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:24.608465+00:00,58.42275933333333,15.5747725,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:25.616492+00:00,58.42278866666667,15.574693333333334,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:26.613048+00:00,58.4228195,15.5746075,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:27.617632+00:00,58.42284766666667,15.574519166666667,22|01|19|17|15|24|13,1.30,2.57,2.22
