time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-07T13:10:19.061609+00:00,"[128, 0, 0, 0, 0, 0]","[85, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:19.207861+00:00,"[128, 0, 0, 0, 0, 0]","[85, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:19.305355+00:00,"[128, 0, 0, 0, 0, 0]","[84, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:19.451606+00:00,"[128, 0, 0, 0, 0, 0]","[83, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:19.549104+00:00,"[128, 0, 0, 0, 0, 0]","[82, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:19.744128+00:00,"[128, 0, 0, 0, 0, 0]","[82, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:19.841613+00:00,"[128, 0, 0, 0, 0, 0]","[81, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:19.939121+00:00,"[128, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.085369+00:00,"[128, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.182880+00:00,"[128, 0, 0, 0, 0, 0]","[79, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.329116+00:00,"[128, 0, 0, 0, 0, 0]","[79, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.426617+00:00,"[128, 0, 0, 0, 0, 0]","[78, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.572876+00:00,"[128, 0, 0, 0, 0, 0]","[77, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.670929+00:00,"[128, 0, 0, 0, 0, 0]","[76, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.816610+00:00,"[128, 0, 0, 0, 0, 0]","[76, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:20.962873+00:00,"[128, 0, 0, 0, 0, 0]","[75, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
